Date,Adj Close
2015-08-24,53.437210
2015-08-31,51.086338
2015-09-07,50.724659
2015-09-14,53.941353
2015-09-21,53.324585
2015-09-28,54.783142
2015-10-05,57.733566
2015-10-12,59.317142
2015-10-19,61.167416
2015-10-26,61.642487
2015-11-02,60.158932
2015-11-09,59.358818
2015-11-16,60.542320
2015-11-23,60.150608
2015-11-30,60.784019
2015-12-07,58.308655
2015-12-14,63.104713
2015-12-21,63.745892
2015-12-28,63.796516
2016-01-04,65.720650
2016-01-11,65.106445
2016-01-18,63.775623
2016-01-25,68.313980
2016-02-01,69.747131
2016-02-08,67.597404
2016-02-15,69.457092
2016-02-22,67.350021
2016-02-29,69.858040
2016-03-07,73.005867
2016-03-14,76.232773
2016-03-21,74.267471
2016-03-28,77.111969
2016-04-04,78.042900
2016-04-11,75.827629
2016-04-18,74.276108
2016-04-25,75.836258
2016-05-02,79.456543
2016-05-09,81.370132
2016-05-16,80.809845
2016-05-23,81.594238
2016-05-30,84.852478
2016-06-06,88.196915
2016-06-13,88.015915
2016-06-20,90.066238
2016-06-27,94.769951
2016-07-04,95.848076
2016-07-11,92.648506
2016-07-18,91.857315
2016-07-25,90.822662
2016-08-01,87.770897
2016-08-08,89.761925
2016-08-15,87.831749
2016-08-22,86.475410
2016-08-29,87.031860
2016-09-05,83.701874
2016-09-12,80.510994
2016-09-19,85.949593
2016-09-26,85.221291
2016-10-03,80.395111
2016-10-10,83.106560
2016-10-17,83.957710
2016-10-24,81.263817
2016-10-31,79.701912
2016-11-07,77.157204
2016-11-14,78.043465
2016-11-21,79.807213
2016-11-28,78.183861
2016-12-05,82.492317
2016-12-12,83.001259
2016-12-19,85.323967
2016-12-26,87.015381
2017-01-02,92.133919
2017-01-09,90.584198
2017-01-16,93.692513
2017-01-23,94.250412
2017-01-30,95.419357
2017-02-06,94.932312
2017-02-13,92.231346
2017-02-20,95.490211
2017-02-27,95.933006
2017-03-06,92.009964
2017-03-13,91.115532
2017-03-20,92.697990
2017-03-27,95.065926
2017-04-03,97.130051
2017-04-10,97.943207
2017-04-17,100.865135
2017-04-24,102.616516
2017-05-01,101.696144
2017-05-08,102.830978
2017-05-15,102.616516
2017-05-22,105.270386
2017-05-29,107.021782
2017-06-05,101.258293
2017-06-12,104.198112
2017-06-19,108.590271
2017-06-26,101.752708
2017-07-03,99.230278
2017-07-10,101.284256
2017-07-17,101.311279
2017-07-24,101.959900
2017-07-31,103.779648
2017-08-07,100.734726
2017-08-14,103.473351
2017-08-21,106.428177
2017-08-28,106.040802
2017-09-04,108.671341
2017-09-11,105.932709
2017-09-18,103.953484
2017-09-25,107.421310
2017-10-02,107.321465
2017-10-09,110.553268
2017-10-16,112.014854
2017-10-23,105.805420
2017-10-30,108.084023
2017-11-06,109.709023
2017-11-13,107.221611
2017-11-20,106.704155
2017-11-27,107.857071
2017-12-04,104.225822
2017-12-11,103.908089
2017-12-18,101.568077
2017-12-25,104.240440
2018-01-01,103.416771
2018-01-08,96.809082
2018-01-15,98.200172
2018-01-22,102.181259
2018-01-29,98.575401
2018-02-05,93.541840
2018-02-12,93.532692
2018-02-19,93.532692
2018-02-26,89.890228
2018-03-05,94.392967
2018-03-12,97.349052
2018-03-19,94.527786
2018-03-26,97.373802
2018-04-02,96.375839
2018-04-09,94.657158
2018-04-16,94.546280
2018-04-23,99.609947
2018-04-30,98.307060
2018-05-07,100.524719
2018-05-14,97.244423
2018-05-21,98.464149
2018-05-28,100.265976
2018-06-04,101.245468
2018-06-11,98.159225
2018-06-18,100.653870
2018-06-25,104.096397
2018-07-02,107.566902
2018-07-09,108.443855
2018-07-16,108.219955
2018-07-23,112.987221
2018-07-30,114.358627
2018-08-06,112.847282
2018-08-13,115.711372
2018-08-20,115.347534
2018-08-27,115.944611
2018-09-03,114.423935
2018-09-10,113.714905
2018-09-17,113.744644
2018-09-24,105.805473
2018-10-01,103.275101
2018-10-08,101.055138
2018-10-15,105.899536
2018-10-22,99.719406
2018-10-29,101.149208
2018-11-05,104.055855
2018-11-12,104.798973
2018-11-19,102.889427
2018-11-26,108.213570
2018-12-03,108.853210
2018-12-10,107.536285
2018-12-17,100.683746
2018-12-24,100.655258
2018-12-31,99.459595
2019-01-07,101.196167
2019-01-14,101.775032
2019-01-21,98.852264
2019-01-28,103.018150
2019-02-04,106.586212
2019-02-11,109.157875
2019-02-18,112.441246
2019-02-25,108.797264
2019-03-04,106.273056
2019-03-11,109.347664
2019-03-18,114.101685
2019-03-25,113.986740
2019-04-01,117.253090
2019-04-08,117.559601
2019-04-15,115.375648
2019-04-22,111.869843
2019-04-29,115.615120
2019-05-06,112.626572
2019-05-13,113.009720
2019-05-20,114.925468
2019-05-27,112.760666
2019-06-03,111.113136
2019-06-10,114.714729
2019-06-17,119.038727
2019-06-24,113.857658
2019-07-01,116.999168
2019-07-08,116.061546
2019-07-15,113.799675
2019-07-22,107.806656
2019-07-29,113.297028
2019-08-05,116.283875
2019-08-12,119.541367
2019-08-19,116.689850
2019-08-26,119.502693
2019-09-02,124.326111
2019-09-09,120.169670
2019-09-16,121.880333
2019-09-23,125.604103
2019-09-30,126.988342
2019-10-07,126.052505
2019-10-14,129.630051
2019-10-21,129.474091
2019-10-28,123.605743
2019-11-04,113.633453
2019-11-11,115.875511
2019-11-18,116.587120
2019-11-25,117.903107
2019-12-02,115.388100
2019-12-09,110.845490
2019-12-16,116.118599
2019-12-23,116.276024
2019-12-30,118.007675
2020-01-06,118.430740
2020-01-13,122.435173
2020-01-20,126.193619
2020-01-27,121.008530
2020-02-03,121.293854
2020-02-10,129.381424
2020-02-17,135.904617
2020-02-24,118.174927
2020-03-02,126.173950
2020-03-09,141.030670
2020-03-16,119.247368
2020-03-23,131.739029
2020-03-30,135.348602
2020-04-06,147.049911
2020-04-13,147.952301
2020-04-20,148.775360
2020-04-27,144.699722
2020-05-04,143.846924
2020-05-11,129.676422
2020-05-18,134.674271
2020-05-25,142.359467
2020-06-01,140.098526
2020-06-08,134.862686
2020-06-15,139.850006
2020-06-22,140.589996
2020-06-29,148.589996
2020-07-06,147.389999
2020-07-13,143.750000
2020-07-20,146.990005
2020-07-27,160.539993
2020-08-03,158.610001
2020-08-10,153.320007
2020-08-17,154.559998
2020-08-24,154.750000
